,Unnamed: 0.1,Unnamed: 0,text_ar,service_domain,request_type,sentiment,topic_label,urgency,priority_score,recommended_action,split,service_domain_new
0,0,0,قدمت طلبًا عبر المركز الشامل ولم تصلني رسالة توضح حالة المعاملة أو الجهة التي أحيلت لها.,متابعة المعاملات والطلبات لدى الإمارة,شكوى,سلبي,عدم وضوح حالة المعاملة,متوسط,2,متابعة الطلب وإرسال إشعار حالة,train,متابعة
1,1,1,تم تحويل معاملتي لأكثر من جهة ولم أعرف أين وصلت، أحتاج رقم متابعة موحد يوضح آخر إجراء.,متابعة المعاملات والطلبات لدى الإمارة,شكوى,سلبي,تعدد الإحالات دون تتبع,متوسط,2,توحيد رقم المتابعة وربط الإحالات,train,متابعة
2,2,2,راجعت المركز الشامل في عرعر، وتمت خدمتي بسرعة ووضوح في المتطلبات.,المركز الشامل وخدمات الجمهور,شكر,إيجابي,سرعة الخدمة,منخفض,1,توثيق حالة رضا,train,خدمات
3,3,3,مدة الانتظار في المركز طويلة، ولا توجد شاشة توضح رقم الدور أو الوقت المتوقع.,المركز الشامل وخدمات الجمهور,شكوى,سلبي,زمن الانتظار,متوسط,2,تحسين إدارة الطوابير وعرض الوقت المتوقع,train,خدمات
4,4,4,يوجد بلاغ سابق بخصوص طريق يخدم إحدى القرى، ونأمل من الإمارة متابعة الجهة المختصة لأن البلاغ لم يغلق حتى الآن.,الشكاوى والملاحظات المحالة لجهات خدمية,شكوى,سلبي,متابعة بلاغ طريق,عالي,3,تصعيد ومتابعة إغلاق البلاغ,train,الشكاوى
5,5,5,توجد ملاحظة متكررة على ضعف الإنارة في أحد الشوارع، ونطلب إحالتها للجهة المختصة مع إفادتنا بالنتيجة.,الشكاوى والملاحظات المحالة لجهات خدمية,شكوى,سلبي,إنارة شوارع,متوسط,2,إحالة للجهة المختصة ومتابعة الرد,train,الشكاوى
6,6,6,أهالي أحد المراكز يطلبون تحسين آلية استقبال الملاحظات وربطها بالمحافظة مباشرة.,المحافظات والمراكز والقرى والهجر,اقتراح,محايد,ربط الملاحظات بالمحافظة,متوسط,2,تفعيل مسار استقبال مباشر للمراكز,train,المحافظات
7,7,7,نواجه صعوبة في معرفة الجهة المسؤولة عن متابعة طلبات القرى والهجر بعد رفعها للإمارة.,المحافظات والمراكز والقرى والهجر,شكوى,سلبي,مسؤولية متابعة غير واضحة,متوسط,2,تحديد مالك متابعة حسب النطاق الجغرافي,train,المحافظات
8,8,8,المنصة لا تحفظ البيانات بعد تعبئة النموذج، وأضطر لإعادة الطلب من البداية.,القنوات الرقمية والنماذج الإلكترونية,شكوى,سلبي,فقدان بيانات النموذج,متوسط,2,فحص حفظ المسودات ومعالجة الخلل,train,الإلكترونية
9,9,9,المنصة لا توضح سبب رفض الطلب، فقط تظهر الحالة مغلق.,القنوات الرقمية والنماذج الإلكترونية,شكوى,سلبي,رسالة إغلاق غير واضحة,متوسط,2,تحسين رسائل الرفض والإغلاق,train,الإلكترونية
10,10,10,أحتاج معرفة المستندات المطلوبة لطلب مقابلة المسؤول قبل الحضور للمركز.,الاستفسارات عن المتطلبات والإجراءات,استفسار,محايد,متطلبات طلب مقابلة,منخفض,1,إرسال قائمة المتطلبات,validation,الاستفسارات
11,11,11,هل يمكن تقديم طلب متابعة معاملة بدون زيارة مقر الإمارة؟,الاستفسارات عن المتطلبات والإجراءات,استفسار,محايد,تقديم عن بعد,منخفض,1,تزويد المستفيد برابط الخدمة,validation,الاستفسارات
12,12,12,أقترح إضافة لوحة تعرض أكثر أنواع الشكاوى تكرارًا حسب المحافظة أو المركز.,اقتراحات تحسين تجربة المستفيد,اقتراح,محايد,لوحة تحليل موضوعات,منخفض,1,دراسة لوحة Topic Modeling,validation,اقتراحات
13,13,13,نأمل إضافة إشعار SMS عند تغيير حالة الطلب أو إحالته لجهة أخرى.,اقتراحات تحسين تجربة المستفيد,اقتراح,محايد,إشعارات SMS,منخفض,1,تفعيل إشعارات حالة الطلب,validation,اقتراحات
14,14,14,أشكر موظفي الإمارة على سرعة التجاوب مع طلبي وإبلاغي بالنتيجة في نفس اليوم.,رضا وشكر,شكر,إيجابي,سرعة التجاوب,منخفض,1,توثيق حالة رضا,test,شكر
15,15,15,تمت متابعة ملاحظتنا مع الجهة المختصة حتى الإغلاق، وهذا رفع ثقتنا في القنوات الرسمية.,رضا وشكر,شكر,إيجابي,متابعة حتى الإغلاق,منخفض,1,توثيق نموذج متابعة ناجح,test,شكر
16,16,16,توجد ملاحظة عاجلة تتعلق بسلامة الطريق المؤدي لإحدى الهجر بعد الأمطار وتحتاج متابعة فورية مع الجهة المختصة.,حالات عاجلة وحرجة,شكوى,سلبي,سلامة طريق بعد الأمطار,حرج,4,تصعيد فوري ومتابعة إغلاق عاجل,test,عاجلة
17,17,17,حفرة مكشوفة قرب مدخل مركز مأهول تشكل خطرًا على المركبات والمشاة ونطلب التدخل العاجل.,حالات عاجلة وحرجة,شكوى,سلبي,خطر سلامة عامة,حرج,4,إحالة عاجلة وتنبيه المسؤول المناوب,test,عاجلة
